Vivado Simulator 2020.1
Time resolution is 1 ps
 Input = 0, Output = 0
 Input = 1, Output = 1
 Input = 0, Output = 1
 Input = 0, Output = 1
 Input = 1, Output = 0
 Input = 1, Output = 0
 Input = 1, Output = 0
 Input = 0, Output = 1
 Input = 1, Output = 0
 Input = 1, Output = 0
 Input = 1, Output = 0
 Input = 0, Output = 1
 Input = 1, Output = 0
 Input = 0, Output = 1
 Input = 1, Output = 0
 Input = 0, Output = 1
